spanId|spanBody|imageFlag|imgWidth|imgHeight
lexicon|Liddell and Scott, <em>A Greek-English Lexicon</em>, 106|no||
essays518|Yeats, <em>Essays and Introductions</em>, 518|no||
mundi|The <em>axis mundi</em> (also cosmic axis, world axis, world pillar, <em>columna cerului</em>, center of the world, world tree) in religion or mythology is the world center or the connection between Heaven and Earth. Examples of this archetypal symbol include the Norse mythical tree Yggdrasil and the Egyptian djed pillar (below).|yes|173|240
stone|Regardie, <em>The Philosopher's Stone</em>|no||
theurgy|Theurgy is neoplatonic magic in which spirits or gods are evoked through ritual or other means, especially in order to connect with the divine or to achieve henosis (union with God).|no||
gorski61|Gorski, <em>Yeats and Alchemy</em>, 61|no||
mysterium|Jung, <em>Mysterium Coniunctionis</em>, 26|no||
flannery25|Flannery, <em>Yeats and Magic</em>, 25|no||
gorski199|Gorski, <em>Yeats and Alchemy</em>, 199|no||
auden191|Auden, "Yeats as an Example," 191|no||
gorskixi|Gorski, <em>Yeats and Alchemy</em>, xi|no||
jung164|Jung, <em>Man and His Symbols</em>, 164|no||
jung162|Jung, <em>Man and His Symbols</em>, 162|no||
trees|See, for example, <a target="_blank" href="https://genius.com/William-butler-yeats-the-two-trees-annotated">“The Two Trees,”</a> <a target="_blank" href="https://genius.com/William-butler-yeats-the-coming-of-wisdom-with-time-annotated">“The Coming of Wisdom with Time,”</a> <a target="_blank" href="https://genius.com/William-butler-yeats-a-prayer-for-my-daughter-annotated">“A Prayer for my Daughter”</a> lines 41-56, and <a target="_blank" href="https://genius.com/William-butler-yeats-the-tower-annotated">“The Tower”</a> lines 17-24.|no||
jungkundalini|Jung, <em>Psychology of Kundalini</em>|no||
jung162|Jung, <em>Man and His Symbols</em>, 162|no||
vision134|Yeats, <em>A Vision</em>, 134|no||
fortune10|Fortune, <em>The Mystical Qabalah</em>, 10|no||
frye148|Frye, <em>The Great Code: The Bible and Literature</em>, 148|no||
images|See, for example, Frye's comparison of the Tree of Life to Jacob's Ladder in <em>Words with Power: Being a Second Study of "The Bible and Literature."</em>|no||
visionexplanation|For a detailed explanation of Yeats's system, see A. G. Stock's <em>W. B. Yeats: His Poetry and Thought</em>. Her ability to translate Yeats's system into a coherent few chapters is tremendous. See also Neil Mann's <a target="_blank" href="http://www.yeatsvision.com/">website</a>.|no||
cicero78|Chic Cicero and Sandra Cicero, <em>The New Golden Dawn Ritual Tarot</em>, 78|no||
olney5|Olney, <em>The Rhizome and the Flower - Yeats and Jung</em>, 5|no||
olney208|Olney, <em>The Rhizome and the Flower - Yeats and Jung</em>, 208|no||
haeffner226|Haeffner, <em>Dictionary of Alchemy</em>, 226|no||
abraham177|Abraham, <em>A Dictionary of Alchemical Imagery</em>, 177|no||
holmyard153|Holmyard, <em>Alchemy</em>, 153|no||
runyon89|Runyon, <em>Secrets of the Golden Dawn Cypher Manuscript</em>, 89|no||
adler28|Adler, <em>Drawing Down the Moon</em>, 28|no||
adler29|Adler, <em>Drawing Down the Moon</em>, 29|no||
jung229|Jung, <em>Psychology and Alchemy</em>, 229|no||
essays28|Yeats, <em>Essays and Introductions</em>, 28|no||
essays31|Yeats, <em>Essays and Introductions</em>, 31|no||
essays36|Yeats, <em>Essays and Introductions</em>, 36|no||
mallarme|Poetry Foundation, <a target="_blank" href="http://www.poetryfoundation.org/bio/stephane-mallarme">Stephane Mallarmé</a>|no||
watkins475|Watkins, "The Religious Poet," 475|no||
watkins476|Watkins, "The Religious Poet," 476|no||
watkins486|Watkins, "The Religious Poet," 486|no||
auden189|Auden, "Yeats as an Example," 189|no||
auden517|Auden, <em>Forewords and Afterwords</em>, 517|no||
odonnell129|O’Donnell, <em>A Guide to the Prose Fiction of W.B. Yeats</em>, 129|no||
gorski111|Gorski, <em>Yeats and Alchemy</em>, 111|no||
swartz|Swartz, <em>Occulture: W.B. Yeats’ Prose Fiction and the Late Nineteenth- and Early Twentieth Century Occult Revival</em>|no||
odonnell117|O’Donnell, <em>A Guide to the Prose Fiction of W. B. Yeats</em>, 117|no||
poems801|Yeats, <em>The Variorum Edition of the Poems of W.B. Yeats</em>, 801|no||
essays197|Yeats, <em>Essays and Introductions</em>, 197|no||
euripedes|This cultic hymn to Dionysus is taken from Euripides’ <em>Bacchae</em>. The hymn signifies a religious lustration (purification) ritual, and the direct translation of <em>όργια</em> into "orgy" gives this line a particularly sexual tone.|no||
